sentimen	Tweet
-1	sungguh nak jaga je henti pura jaga paksa kau kau perl
-1	iya hubungin ya butuh dosa wkwk
1	istri daniel
-1	mahal service bagus takpe streamyx kat rumah barai
1	hihihihi look at the face lepas taknak kau bau ikan mandi namau nameow catsoftwit
-1	jalan dahlia peras tinggal labcoat kat dinamik sobss
0	antra bebanyak pondan malaysia viviana ya cakap content ive never thought ya komuniti ki
0	lepas tengok movie onetwojaga time intern kerja contractor quantityurvey juruuk
0	tahan sayang paksa kapel
1	guys today nak rekomen kat korang movie best some of you maybe tengok movie
-1	jalan hidup mello death note
0	sok pergi klinik muntah tengok carta organisasi buat nak gelak wei
-1	ampak orang dp gambar kawen husband je dp gambar ambik
0	ya allah pengin akak goler trit
1	tolong harini je deh ketawa krem perut yall
-1	i dont know nak sekarangebab sorang sakit sok orang dont judge me
-1	mu gemas banget adminnya marah
0	pastu perangai still babi tampak taknak kahwin
0	siang happy friday sholat jumat nya lupa ya habis giat latih bareng team sih
0	kawan tips dietebab cuti just makan diet and sem deh kurus giler kak
1	tuhan yesus ganti frustasi hati damai sejahtera mbml
1	doa lelaki kerja cari duit pasang kesihatan murah rezekiemo
-1	bisa naruto pengin nyium muka disalahin lantai
-1	airmata jantan baca
-1	first impression niumpah kau sombong gila orang cakap kau sombong p
0	nge rt
-1	pas tonton berita lamar pas wisuda tuh nak lamar pon siape
0	takde ciri deh sayang someone gelap suka putih suka hensem
1	teman teman jatinangor tolong beli ya jual beliau jual kain lap keset dsb
0	ayat tipu jap otw study takda kredit pakai duit kak
0	izin mengupload
-1	apa elfungmin
-1	instagram facebok twitter cantik takde cantik bagitahu akuekarangiapa je nak upl
1	syukur lupa kurang tulisanirin jumatberkah
1	segitu kangen ya mbak
0	lupa sholat dzuhurnya
0	life skang simplekan je suka layan je penat nk jaga hati orang je pikir
-1	bayang posisi bwah orang rendah materi
1	hidup pilih pilih
0	salam suami exo korea paak
-1	haha sorry akua paham
-1	receehh ah
0	pinjam lighter bang pinjam lighter jap ok light kena diri jap dup pam kene hembus nak
-1	kurang nya rm budak miskin kau nk suruh sedekah lepastu kau
0	tidur buka kipas orang aircond bcs takut the kitten sejuk bangun approximately every hours just menang l
1	if sih keli femes apantah kahkahkah
-1	hati kecewa sedih sorang je orang
-1	beli barang shupe harga puluh ribu ongkirnya ribu kesel banget deh wheres the justice tho kayak be
-1	butuh selang visual biar mampus tunggu kali rasai p
-1	kira introvert pedopil
0	p pagi malam ya pagiudah coba trik pancing pancing kayak b
1	sayang sakit sentiasa sayang
-1	omg kau kfc ppagi cmni
0	mamak nak try
-1	serius nya raguu yaudah kasih harap dia kasiaan
0	tomorrow i will date with yesterdays you movie download sedih kak start movie ending duk fikir t
1	i liked a video jokowi pakai bahasa jawa
-1	atas enggak usah sombong deh tindas karyawan langsung milyuner larang orang masuk
0	ngatau nih bang definisi hasil
0	main ww deg degan mulu wkwkwk id
-1	kayak woojin kesringan barengih dasar anak kembar
1	okaay nggapapaa doyoung terima kasih ya
-1	sungguh nak jaga je henti pura jaga paksa kau kau perl
0	jual
-1	cita cita khianat
0	wow beli
1	terima nikah mas kahwin bacaanurah al fatihah dear future wife kahwin sedekah al fat
1	makan samyang yuk makan samyang sayang
-1	malas nk kutip malu kot mintak duit orang
-1	rama ganggu karya ya tolong
-1	begadang minum soda kau pilih pilih cinta
1	pegi kedai bawa adik teman pastu uncle anak you muka hahaha muka orang deh kawin doh
0	amin ustazah pening kepala me takpelah awak tulis je awak laratampai suruh hantar buku tara
0	time gaduh je english automatic power time exam kena gaduh before
-1	mikirnya pengin ngegas apa orang pengaruh ngegasnya sia kwkwkwk
1	suka mie sedap tumis ulang pakai bawang merah bawang putih telor daun bawang iris ca
0	ramai sifu property approach join kelas investment etcemua cerita beli rumah murah sewa
0	shalat jumat letsfridaypray
-1	tunggu orang reply email lambat ah citenya nak settle
-1	rlt mutualan yuk gamasalah suka rt twt receh rt ya follback kalo maaf
0	giveaway ina only ada tunggu wdtv gila kayak help doa
0	moga salah ahabat untung dapat pulsa kak ya lupa like ajak teman unt
-1	dara pergi kenduri kahwin lepas ramai orang lepas risau duduk htt
1	ratu kau raja ya
0	je tukar tayar myvi pasang rm malam
0	halo selancar twt belanja gmarket nemu beli album gmarket
-1	kot nak insta story takyah jerit banget sia telinga orang deh dengar
-1	orang penat when sedih
-1	ria kau nak appreciate
0	nak ti
0	pipi nya cubit pipi nya cium mana
-1	harap jual fhone nak beli xs
0	best tengok ikan pon pulau makan roti buat salah ikan kene
0	kalo baca sih etik wkwkwk
1	gemar mie burung dara enak sambung
-1	assalam lelaki jalan jauhelekoh belok rujuk maps even pergiekali je
-1	kalen kalen jahad
-1	weyhh tolong faham sakit kau langsung kesah klinik gagah badan
-1	kopi biar basi kau sapa dar basa basi
0	giveaway pulsa kak orang menang retweet follow akun ya menang umumin tangga
1	i suami panggil sayang were gonna pakai babies right after
0	gapain
-1	confuse jual malaysia asik kaya je nak jual nak show off kaya then
1	be strong bro
0	pas ajar privat adek kakak murid adek weekend spore miss sih
0	dok bayang alien keluaq dada
1	buku buku suka baca malam kian buku telungkup
0	adik darjah tetiba masuk bilik pastu pantun bread is rotihadow is bayangebelum akak mati better
0	fastga gifwinner palinguka pakai banget yoon as the cutest and mino pampers him
0	laki je ayat lahai
0	diam kalah kadang debat orang tolak dengar
0	tengok
0	tls followan yuk rep rt temena
0	isteri sehat smlm pagi jam hantar anak tadika taska but
1	cerita beli hamster biar sepi sih rumah pandaang berdu
0	haha bawa tas selempang mana
0	jalur arah kampung
-1	enggak usah bawa asa etik pakai jari baca pakai mata enggak usah pakai hati
1	takut tinggal hormat sempat untuk hormat berani
-1	hati kecewa sedih sorang je orang
1	let me pakai this clear paan hidup xrasa gagal xkan motivasi n
-1	postedih tonton homeshake amp mild high club jakaa cosmo pyke diingapore
1	ya allah lindung mu siksa kubur siksa neraka jahannam fitnah hidup mati f
0	rlt suka jb yuk followan butuh teman obrol cuman butuh followers rt ya
0	best tengok ikan pon pulau makan roti buat salah ikan kene
1	kuis kuis daihatsu banget yaahabat hadiah pulsa kuis kali tebak
0	sungguh nak jaga je henti pura jaga paksa kau kau perl
0	ab bucin exo mutualan yuk rt rep ya nya janji follback kenal ya
-1	sakdurunge koe dadi uler wes dadi kupu dadi saran rasah ngetoke goblok nganggo coro mbanggake bab nakalm
1	stay beside you was my job hehee sayang
0	gapapa sih which is tuh banget english tuh literally international language prefer bah
-1	deh cpk
-1	sedih cerita patient huhu makcik masuk ward heart attack suka tegur senyu
0	benda nak bawa gurau rupa paras bentuk badan insecurities contoh gagap pas
0	pakai bagpack
1	hahahahaha hibur lol tiful sorang je peras typo caption
0	tinggal harap orang post gambar kubur letak caption lebaq kau sedekah al
0	ingat hari takda data orang cari ws takda langsong
0	baca golong orang kayak
1	fams yuk
0	tido brape jam je mati sia otak
0	hi ada give away nih give away nya album bts love yourself answers yey follow retwee
0	sembang budak legend kau ajar kat main ml boi
-1	menang nih
0	bts sibuk nafkah keluarga kejar impi army sibuk nafkah orang je
1	cuba nak amal sikap pergi mampus sayang gagal jenis mudah kesi mudah maaf
-1	tusuk sakit
0	askmf ayah ayah suka pedas masakan mama pedas ayah makan mama
0	check the girls idam peluk tido but then kebas lelaki statik je tido nya
0	tahu eptember ingat kunjung pustaka ingat p
0	time gaduh je english automatic power time exam kena gaduh before
0	ctea tau foto jisung tau video nya mission complete https
0	dapur nk nyanyi lagu aizat ku air wudhukmu seri mak sound
-1	tinggi halang rupa halang
-1	sedih kadang kadang doa doa makbul hamba baik allah tau pe
0	tambah deh nih
-1	i a hm kecewa hang takmau a kat
0	ketemu lisa blackpink solat mesjid thailand wudhu lihat
1	wkwkwk lantai doa lip moga ganteng wowognya
0	je bdhshshhs
-1	tgok lelaki asia mostly lpas kawin badan boroi
1	tau ikon jaman win suka taehyun suka yunhyeong dukung ti
0	baca buku suka puisi yuk reply halaman foto rlt
0	nama kucing denngan nama
1	gila beli kak
0	jual email aktif
0	ayo
0	freebies alle yuk cari venue ikut rules gambar dapat freebies idealcutinjkt apinkinjkt
0	woojin jihoon ha
0	kah confuse hmm
-1	wanita malang dunia wanita salah pilih suami isteri cermin suami cantik suami cant
0	pilih pemenangnyausah komentar bagus bingung pilih tunggu sebentar okem
0	cg intai kertas exam kau
-1	me doin math paper hshshshshshsh bodo takama jawapan hshshssh minit tembak
-1	gila perempuan gaduhikit tegur lelaki gaduh esok deh stable
0	acc rame yuk upfoll lantai harga rules cek pinned ya t upfoll rp
-1	blja a kuar uji b sih gred eh taknk dapt a
0	wao ainul manul gtdc tulah takdak ah kat situ boh
1	hormat hormat
0	daftarr jfclosedday
-1	perkara pendam kongsi orango pelik deh kuat semb
1	tolong tidur self reflect perangai babi sampah ye harini
-1	pamit tidur cek ig dm ijo ijonya ya
1	bibi adik sih cantik suka banget lihat senang tau ikut senang bi pos
-1	kompor ya jeffa
1	habib lutfi rois aam jamiyyah ahlith thariqah al mutabarah an nahdliyyah turun bendera kak
1	omg bigolive
0	oh buatpa weh dkt deh tuh hahahaha
0	erm tautau je perlu
-1	orang ganteng wangi murah senyum asik lemah lembut etik bhay mas
0	my dear followers and friends korang photoshoot makan tolong dm tolong dm price photoshoot fo
0	mintak dil dengar dil kau tak geli tau konon nak jiwang and
1	diri cinta takut temu diri orang
0	bas bot
0	coba posisi dituker deh suka makan suka masak
0	giveaway ada rangka bday guanlin teman monbebe amp nctzen
-1	ais batu je anjir
-1	iya sabar mah jeno lesat mengetag
-1	omg batuk darah ada jumaat
0	untung mak anak suka tangkap gambar cuba teka umur
0	ku marah kau kacau tidur pagi genggam muat jari dalam kampung hati kau gergasi
0	rangorang mikir kalo crazyrichsurabayan tampil perlente pakai barang mewah bias
0	giveaway pulsa kak orang menang retweet follow akun ya menang umumin tangga
1	diam angguk tahu orang
1	pakai himalaya neem mask bagus matull banget
0	gadis berniqab alhamdulillah henti berselfie share gmbar
-1	perempuan tau leher aurat kisah kau pakai turban serban lantak kau parents kau t
0	kuat hantu kat rumah
-1	tuh susaah orang dikit dikit pikir anak gampang pusing stres
0	duduk atas situ
0	kalo nilai ulang jelek panggil ayah oke ya esok hari hasil ulang
-1	hati kecewa sedih sorang je orang
1	kali tampak peti ais kat dapur haha
0	daya fanatik mi gaga black paper
0	membe lepas pickup line nak bayar makan awak orang malaysia yela duduk manaini je
0	syukur hubung permesta ya
-1	gue mikirnya gapapa jelek item dekil buluk gede cakep
0	nangkepnya kreatif lucu sih naro link mv tweet berita hubung
1	idola banget mbak
-1	ah pelik sunyi sepi damak haritu
-1	ya mimpi langsung lupa semalem mimpi dapat lupa recehkantwiter
-1	menang banget pas ngerujuk pasien pakai ambulance mas gojek bantuin bukain jalan beliau kak
0	maryan zaman evdo rev b balita zaman now mata rumah speed
0	tls followan yuk rep rt temena
0	otobiografiebuah banatu bangun rumah tradisional dayak beda rumah
1	sungguh kuasa tanda dewasa seseorangelamat b
0	orang sabah kasitau pulau selamat biar dorang nak culik abu sayap
0	bodo hibur bodo member ceni
0	penasaran kisah
0	tambah deh biar
0	tweet bangang liar socmed mari kawan tengok gender trash huhu
0	cekgu
0	suka mben sepakat nde e kerjo karo gawe kopi dewe nganggur karo nukokke maeman ning
0	tengok anak buah gais
-1	faham
1	hahahaha pastu kejut eh deh tumbokk muka kau kang
-1	plk dio gi langgar lampu merah simpang nk belok kanan nepik time kereta merc kiri nk
1	presentasi lancar bikin album only wanna ver one ver no need follow
-1	malas nak kembang latest iphone xs hahahahah check korang tolong bagitahu kat
-1	jenis reply chat orang cepat nak mampus orang lepas jam reply and terima dek
-1	kondisi mana benar galauin ngetweet galau orang babi nama
1	shopee
0	mutualan yuk ikonic btw rt ya fllbck hehe ab
0	puk pukin yuqi
0	periksa dokter kalo didiemin doang kena sakit lambung mesti rujuk rumah sakit kayak
1	laksana wajib allah niscaya orang takwa ath thabrani
0	aik lift member nak jumpa prof tingkat tingkat member tingkat hahahahah bongok memasing
0	kali betegur bff dkt kot
-1	kayak bilang malas teman teman baju celana nya cuciin emak nya
0	dear cowok salat jumat bikin ganteng bikin calon imam ingatalat jumat
-1	mbak takut marahin bilang kalo coba pas kondisin
0	juluk mahasiswa wajib tau nyawwenyawwa artikelnyaww infonyaww
0	help butuh donasi kucing kucing suka sekitar rumah banget rumah tidur ku
-1	crush nak tegur ye tegur suka cakap suka kau dok tengok je story missebb
1	cinta promo grabfood makan burger mcd harga ayam geprek
0	anti celana dalam kalo morotin
0	tolong please bang perempuan baca malu wei malu ria cerita kat kwan n dengar n
1	luar tampak happy go lucky sentiasa senyum orang keliling friendly gelak ketawa dekah a
0	orang bilang time mngandung jaga mulut peluang sumpah time mngandung mujarab doa
0	cakep asli foto cakep foto asli jelek
1	cinta gue
-1	serah bapa
0	pah butang baju melayu pah
0	and tingkat wehh bunyi gegar jalan kuat and
0	universiti dengar orang label student deme pandai hadap buku je hidup deme
0	hmm cari topik baru gap teliti isi
-1	kau nak tinggal nak mati allah ampun dosa mati kead
0	try tulah jela takecare hm
1	done watching dil start movie habis senyum sorang nasib tengok sengsorang ram
-1	salah wiwin manusia teman hidup harap harap tuhan allah
-1	ggak pengin suudzon pernah hilang charm jadi persis pamerin
0	kerja kamoo hmb
0	urut sesuai sticker ya btw double essence laneige pakai kali minggu selang
-1	kenapala taktegur kau hm niat nak tegur kau nak kawan nierious t
-1	deh hancur percaya cuba bahagia orang keliling putus asa sahaja ya
-1	menang baca komik
0	awek bising nothing is wrong once awek deh senyap everything is wrong perhaps deh someone
0	sih gramed jilid jual bua
-1	biar sayang sayang
0	topi
-1	why kena taboks a teman papa lum intel
-1	ngutuk rizkiko
-1	coba lawan sakit coba sakit coba lupa sakit coba biasa
0	ww serius nih teman kuliah pontianak dibeliin rumah mobil anak asli kota
0	bodola emma nak murung harini
0	jumat jadah sarung siapin
-1	biar tau asa sebenarnyaa
1	doa bapa ya allah ampunila
-1	engkau takdir ku berterimakasih engkau temu cipt
0	e money bucin dreamies berkat nct dream rejeki duga h
0	any kau suka then cakap suka je jatuh hati hhahah bongok nany anggap kawan je
0	wkwk ngapa tau kalo akun private nit kalo enggak bisa update i
0	ingat gagal tadbir negara elok je salah bn nak tanding penting parti pon salah bn
0	anak ajak event
0	terkadang kalo lihat orang jalin hubung pas dengar nikah ya
-1	kadang lupa lagu bawa kenang indah sama pikir kmutiara
0	hai adik ikut lomba poster yukudah kali anak indonesia juara duniaiapa tau juara
-1	masuk bayar okay free nak main
0	asli layanin pkkny teganv serbaa
0	mimpi tidur
1	tampil atas hadap audiens lihat ssuatu skill mu tuntas kagum p
-1	faham jenis orang malaysia ret nak sangkut hose geli bodoh nak pegang
0	still the same perut pon still same
0	ay wag po
1	ciri lelaki idam um kena ayah
-1	sumpah annoying weh kau expect selesai
0	eh sikda hahaha polah scaling jak
0	mana mer
-1	malas nak layan orang kang layan kang kesi deh layan kang fake hope haiyo nak
1	sikaat sisst sikat baju celana biar bersih wkwk canda ding kalo sikat sih
0	ctea kobisa ya ngedip kalo kedip hasil merem
1	shuhuaama sih suka banget makan jepang
-1	traumatised tengok fjdjksj dub japanese
-1	kawan kawan hisap rokok sayang korang henti ye guys kena
0	if sih keli femes apantah kahkahkah
0	gantuk tidur khawatir besok cinta besok kirim pesan
1	nak cari rezeki halal bisnes online tak nak tipu orang kak
0	mending gua gerobak gua bayarin resepsi nikah uwuwuwuwuw
0	hi followback ya group
1	cepat sembuh sayang moga kuat allah angkat sakit yaaemangat a
1	selamat tambah umur moga sehat panjang umurmuemoga
-1	bangsad tampar gue
1	wei kedai mamak nudes tl aduh hahahaha
-1	malu junior asheeq ali yihh
0	tengok member pergi habis duit orang ilmu makan ringgit sikit
0	malam lapar ulang alik gi peti sejuk kali buka jenguk tutup buka jenguk tutup terfikir peti
0	kemarin juno random omong sesuai plan ribet nyiapin kawin nih
0	antra bebanyak pondan malaysia viviana ya cakap content ive never thought ya komuniti ki
0	biasa perempuan kena jaga jaga muka malaikat kadang perangai syaitan camni lari laju teruk
0	wkwkwk
0	mamat cool cinta hati putih kain cari kena still awek
0	hush floi harry
1	maut pisah cinta sayang tulus hati fellychibi
-1	kadang henti peduli benci sadar peduli katabijak
0	huh pasal benci mathematics
0	surprise giveaway gabut tambah teman bagi pulsa nominal ribu operator
0	fast lena fast learner
-1	bengis nya perempuan tengok haha xhabis dendam nya kali semenjak asasi
1	usaha sinar awan jalan iring puja bebas hanyut
1	rindu kau takpa doa jeemoga tuhan lindung kau
0	fikir acne scar tahi lalat em
-1	sorry turn off perempuan pegi clubbing niebab pergi kau bayang sempit sem
1	mantap nih jokowi avengers cegah thanos hapus populasi
-1	bodo hibur bodo member ceni
1	anak jiran umur bagitau bf gay kak deh taknak pegang tetek laangsung hahahahahaah
1	muhammad ku muhammad ku dengar seru rindu rindu pada muhammad ku
-1	sakit hati bile dengar kisah orang kene entoh ngamuk
0	faded away kepala deh jantan taknak aku hanjeng
-1	lindung jalan derita apa nagato chapter quoteui
-1	orang ganteng wangi murah senyum asik lemah lembut etik bhay mas
0	deh asyik je kena cari kau asyik je nak kena terhegeh hegeh asyik je nak ria pergi mampus
-1	beda
1	lupa sholat jumat ya sayang jelek ya sayang biar ganteng ih wajib oh terima kasih
0	but this is my first time surat ret nak
0	sorry ah zri kau wig je
-1	panggil panggil rindu tanya hati rindu dengan aseq
1	khawatir orang sayang
1	hihihihi look at the face lepas taknak kau bau ikan mandi namau nameow catsoftwit
0	loh enggak tau deh
0	ex ex eh tolong ah haha takyah sebok jaga tepi kain time tgt taknak jaga nak sih
1	nama indonesia nama toleransi nama bhineka tunggal ika peti jenasah pendeta oma palese man
-1	kisah miskin
-1	nak tengok nak lakon bodoh
-1	amit amit ya allah
1	omg bigolive mana
1	gikik baca siang
1	manusia suka terima kasih support gembira duka kau anugerah
0	yuk rapat workshop bag amphoes premium ilmu buka usaha laundryepatu tas mahal brand sedia
-1	mu gemas banget adminnya marah
0	i nak femes je
0	oiya anak kasih
0	back then school cikgu eh cinta kat uni handsome handsome jumpa now i
-1	hehehehe sesal
1	lipstik creamy kayak purbasari bibir kering kalo pakai enak kering
1	gemas oenyoe getoh cmiew jfclosedday
-1	please enggak usah ajak ajak
0	ek konco sak sekolah sihiswa masuk bk bandel bawa bmw sport sing anyar
1	gua nyanyi raisa lagu mantan indah ya allah haru
1	kenang indah kali kau cumbu sayang
-1	dom malang nih
0	bayang telfonan hanbin malam ngantuk hanbin nyanyi lagu
0	main ca xd bosan rp lari kesana
-1	kecewa deh tidur reply whatsapp tengok ig reply dm orang
-1	gagal patah juang
-1	sorry wehebabusahkan kau suka kawan cakap kau kawan tolong kau deh tan
0	hmm lapar nep
0	tubuh sembunyi embun jendela sebut kabut tetes gerimis tehpotji
0	ab erina followan yuk acc nehh ku tulis follback woy rt entar follow entar lup
0	bgthu jelah deh suka someone lai
-1	deh sakit hati orang muka orang malas tengok
-1	askmf kasih kado earphone gebetanku gagal pacar kutilisin dengar dengar jang
-1	getik kangen tuh hapus enggak mau tag orang nya ldmstro
0	ya allah hibur ridha mu sabar uji engkau turun jualforedijogja
0	nak bakar orang
-1	commitmentetakat hulu hilir together put effort nak kahwin tinggal je bazir
1	untuk kak rehan sabar ya
0	woelaah sa lu potekan nyam nyam
1	sharing deh asih motivasi gua asih petuah kalo pengin kayak amp nikah umur
0	teh minum panas paham hukum termodinamika
1	start kuliah deh ponteng haih nak hahaha
-1	deh kenapatudent poal login accendiri nak entranceurvey profile orang kenal
-1	selam dungu ngira laut ombak sebut kosong rendah gair
1	iya indah tunjukkin semangataya bawa titik favorit
0	duit cey es krim kali
0	kahwin isteri kali confessejak kenal xpernah luah asa orang
-1	mana nama tungguedangkang mana bisa harap me
1	juang temu jalan matsukaze tenma
1	hsjsjs kalo dancenya
-1	cari benar benar you you ill me
0	best tengok ikan pon pulau makan roti buat salah ikan kene
0	lelaki power bab fokus corpus collosum cc tissue inside our brain which connected between hemisphere left
1	selamat rehat mr acappan lawak suka amp evergreen selainathiya
0	butuh totebag nder huhu nya font kayak warna tulis nya itaamm totebag nya putih lucu banget
0	ya pulsa orang kak bilang sih bangchan blonde blonde
0	tgok tweet hg ingin ti canai
0	hi followback ya group
-1	member adek cite kat dibreak up gf die time cerita suddenly menang weyh kot
-1	i rt orang anak mahu efa nk anak tengok
0	tau masaa
1	senang senang je bodoh duluob sob
1	gantuk tidur khawatir besok cinta besok kirim pesan
0	minggu dewan nasehat rapat perdana mbs
1	dm
1	percaya allah mentakd
-1	tipu je pakai makeup
-1	duit deh habis lost sia hais
-1	percaya percaya diri percaya cinta celty
0	templatenya kalo mamah mamah tuh kalo hadiah apa bilang b
-1	lihat trailer mudeng otak kiri ya
-1	capek ngeboong capek diboongi
1	iya hahaha folback wlpun jarang pakai ig hahaha fbmu
0	kat pokemon go weyh
1	jeffan manis manis banget diabetes
-1	sorry turn off perempuan pegi clubbing niebab pergi kau bayang sempit sem
-1	cekam diam pikir bicara ya nafsu bica
-1	gampang banget menang lihat foto hewan kucing luka menang
1	cinta diri
0	giveaway ada rangka bday guanlin teman monbebe amp nctzen
-1	penat nak pura pura suka orang susah kau susah kisah orang nak tolo
0	nak reda dululah
0	dara pergi kenduri kahwin lepas ramai orang lepas risau duduk htt
